iterations;stdDev;avgGradient;varGradient
1;16,87443;1,842158;1,415331
5;16,81989;1,793863;1,299527
10;16,77065;1,765755;1,232391
20;16,6981;1,73695;1,163064
50;16,56224;1,701326;1,079829
100;16,43463;1,678325;1,030499
200;16,30349;1,66055;0,9969938
400;16,19592;1,649237;0,9788202
600;16,15332;1,645636;0,9736049
800;16,13311;1,644102;0,9716458
1000;16,1227;1,643371;0,9707878

