iterations;stdDev;avgGradient;varGradient
1;16,93855;2,019074;1,586831
5;17,57328;2,666348;2,275927
10;18,70124;3,521772;4,339245
20;20,38884;4,62503;12,04421
50;20,03979;4,330008;9,808363
100;18,34741;3,190284;3,789956
200;17,02208;2,425073;3,194169
400;16,26572;2,156141;3,314928
600;16,14983;2,123465;3,335138
800;16,13324;2,119065;3,338873
1000;16,13169;2,118629;3,33958

